threshold	term	GeneSize	WindowSize	key	value
0.7	253	10	9	AT1G23740,AT1G10170,AT5G02160,AT4G18370,AT4G39730,AT4G01050,AT5G16660,AT1G06690,AT5G23890,AT4G01900	5,6,7,8,9,10,11,12,13
0.7	254	5	9	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	5,6,7,8,9,10,11,12,13
0.7	255	13	9	AT1G23740,AT1G30510,AT2G24020,AT5G02160,AT1G42960,AT4G18370,AT4G24750,AT4G01050,AT5G16660,AT4G39730,AT1G50460,AT4G01900,AT1G06690	5,6,7,8,9,10,11,12,13
0.7	256	5	3	AT3G46610,AT1G73530,AT4G25050,AT4G31390,AT1G03600	5,6,7
0.7	257	5	4	AT2G26340,AT3G47060,AT5G53490,AT2G43010,AT1G14590	5,6,7,8
0.7	258	13	9	AT1G15140,AT1G10170,AT5G16150,AT4G20820,AT1G22020,AT1G50250,AT3G22690,AT4G01050,AT5G16660,AT3G57680,AT3G15840,AT4G39730,AT2G37230	5,6,7,8,9,10,11,12,13
0.7	259	10	9	AT3G46780,AT4G16155,AT1G75690,AT1G22020,AT1G50250,AT4G38380,AT3G22690,AT5G16150,AT3G25480,AT3G15840	5,6,7,8,9,10,11,12,13
0.7	260	8	9	AT1G20810,AT2G21160,AT1G21750,AT1G78915,AT1G54580,AT1G65260,AT2G01140,AT2G37400	5,6,7,8,9,10,11,12,13
0.7	261	70	9	AT3G10470,AT5G13120,AT2G42975,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT4G38380,AT1G12250,AT5G19500,AT5G42070,AT5G53170,AT3G15360,AT5G39830,AT1G74710,AT1G10170,AT2G20270,AT1G66670,AT3G60370,AT5G16660,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G01500,AT4G20820,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT3G24590,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT5G42765,AT2G22360,AT5G19370,AT3G10130,AT1G67280,AT2G27290,AT3G58010,AT2G37230,AT4G16155,AT2G30950,AT5G20140,AT1G55370,AT3G55330,AT1G52220,AT5G12470,AT5G23890,AT1G79230,AT1G76760,AT4G39960,AT4G04020,AT5G52970,AT5G16150,AT5G03455,AT3G57680,AT1G22450,AT4G35770,AT2G40400	5,6,7,8,9,10,11,12,13
0.7	262	6	7	AT1G21750,AT3G53560,AT1G74880,AT1G67840,AT1G54790,AT2G01140	5,6,7,8,9,10,11
0.7	263	12	9	AT2G42220,AT1G23740,AT1G30510,AT2G24020,AT5G02160,AT1G42960,AT4G18370,AT4G24750,AT4G01050,AT1G50460,AT4G01900,AT1G06690	5,6,7,8,9,10,11,12,13
0.7	264	9	9	AT1G10170,AT5G02160,AT1G42960,AT4G18370,AT4G24750,AT4G01050,AT2G40100,AT5G16660,AT1G06690	5,6,7,8,9,10,11,12,13
0.65	265	16	9	AT2G42220,AT1G23740,AT1G30510,AT1G79450,AT2G24020,AT5G02160,AT1G42960,AT4G18370,AT4G24750,AT4G01050,AT5G16660,AT4G24930,AT4G39730,AT1G50460,AT4G01900,AT1G06690	5,6,7,8,9,10,11,12,13
0.65	266	17	9	AT5G20140,AT1G23740,AT1G10170,AT5G16150,AT4G20820,AT1G22020,AT1G50250,AT4G38380,AT4G18370,AT3G22690,AT4G01050,AT5G16660,AT3G57680,AT3G15840,AT4G39730,AT5G23890,AT2G37230	5,6,7,8,9,10,11,12,13
0.65	267	9	9	AT2G21160,AT1G50450,AT1G78915,AT1G67840,AT2G21530,AT4G38100,AT1G65260,AT2G01140,AT2G37400	5,6,7,8,9,10,11,12,13
0.65	268	55	9	AT3G10470,AT2G42975,AT1G07510,AT1G75690,AT3G58010,AT4G38380,AT4G39960,AT5G53170,AT3G15360,AT5G59250,AT1G23740,AT1G10170,AT2G20270,AT4G35770,AT3G60370,AT5G52970,AT1G50250,AT1G51350,AT3G22690,AT4G01050,AT2G40760,AT4G39460,AT5G12470,AT4G20820,AT3G15840,AT1G56500,AT5G23890,AT3G24590,AT1G17850,AT1G29920,AT5G19500,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT5G42765,AT2G22360,AT4G39730,AT5G21430,AT5G03455,AT1G67280,AT3G26580,AT2G37230,AT4G16155,AT2G30950,AT5G20140,AT1G55370,AT3G55330,AT1G76760,AT1G51110,AT5G16150,AT5G16660,AT3G57680,AT1G22450,AT2G40400	5,6,7,8,9,10,11,12,13
0.65	269	7	9	AT1G14590,AT1G30510,AT4G31560,AT1G79450,AT4G24930,AT1G50460,AT4G01900	5,6,7,8,9,10,11,12,13
0.65	270	5	7	AT3G25480,AT3G46780,AT3G21055,AT1G54780,AT5G08540	5,6,7,8,9,10,11
0.65	271	7	9	AT1G14590,AT1G30510,AT4G31560,AT3G47060,AT4G24930,AT1G50460,AT4G01900	5,6,7,8,9,10,11,12,13
0.65	272	14	9	AT1G23740,AT1G30510,AT2G24020,AT5G02160,AT1G42960,AT4G18370,AT4G24750,AT4G01050,AT2G40100,AT5G16660,AT4G39730,AT1G06690,AT4G01900,AT1G10170	5,6,7,8,9,10,11,12,13
0.65	273	5	4	AT3G46610,AT1G73530,AT4G25050,AT4G31390,AT1G03600	5,6,7,8
0.65	274	5	9	AT1G78915,AT3G53560,AT1G67840,AT1G74880,AT2G01140	5,6,7,8,9,10,11,12,13
0.65	275	73	9	AT2G17630,AT3G10470,AT5G13120,AT2G42975,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT4G38380,AT1G12250,AT5G19500,AT5G42070,AT5G53170,AT4G04020,AT3G15360,AT5G39830,AT1G74710,AT1G10170,AT2G20270,AT1G66670,AT3G60370,AT5G16660,AT1G50250,AT2G40100,AT1G54050,AT3G22690,AT4G01050,AT1G51350,AT4G39460,AT5G59250,AT5G01500,AT4G20820,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT3G24590,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT5G42765,AT2G22360,AT5G19370,AT3G10130,AT1G67280,AT2G27290,AT3G58010,AT2G37230,AT4G16155,AT2G30950,AT5G20140,AT1G55370,AT3G55330,AT1G52220,AT5G12470,AT5G23890,AT1G79230,AT1G76760,AT4G39960,AT2G40760,AT5G52970,AT5G03455,AT3G57680,AT1G22450,AT4G35770,AT5G52440,AT2G40400	5,6,7,8,9,10,11,12,13
0.65	276	13	9	AT1G23740,AT1G30510,AT5G02160,AT1G42960,AT4G18370,AT4G24750,AT4G01050,AT2G40100,AT5G16660,AT1G06690,AT5G23890,AT4G01900,AT1G10170	5,6,7,8,9,10,11,12,13
0.65	277	10	9	AT1G23740,AT1G10170,AT5G02160,AT4G18370,AT4G39730,AT4G01050,AT2G40100,AT5G16660,AT5G23890,AT1G06690	5,6,7,8,9,10,11,12,13
0.65	278	5	9	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	5,6,7,8,9,10,11,12,13
0.65	279	73	9	AT2G17630,AT3G10470,AT5G13120,AT2G42975,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT4G38380,AT1G12250,AT5G19500,AT4G27700,AT5G53170,AT4G04020,AT3G15360,AT5G39830,AT1G74710,AT1G10170,AT2G20270,AT1G66670,AT3G60370,AT5G16660,AT1G50250,AT2G40100,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G01500,AT4G20820,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT3G24590,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT5G42765,AT2G22360,AT5G19370,AT3G10130,AT1G67280,AT2G27290,AT3G58010,AT2G37230,AT4G16155,AT2G30950,AT5G20140,AT1G55370,AT3G55330,AT1G52220,AT5G12470,AT5G23890,AT5G42070,AT1G79230,AT1G76760,AT4G39960,AT2G40760,AT5G52970,AT5G03455,AT3G57680,AT1G22450,AT4G35770,AT5G52440,AT2G40400	5,6,7,8,9,10,11,12,13
0.65	280	6	5	AT3G14420,AT3G08920,AT2G18790,AT4G33010,AT4G27700,AT2G29180	5,6,7,8,9
0.6	281	9	9	AT1G30510,AT4G31560,AT2G24020,AT3G47060,AT1G06690,AT4G24930,AT1G50460,AT4G01900,AT1G14590	5,6,7,8,9,10,11,12,13
0.6	282	5	9	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	5,6,7,8,9,10,11,12,13
0.6	283	83	9	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT2G42975,AT1G07510,AT3G58010,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G42070,AT5G52440,AT1G02560,AT5G53170,AT4G04020,AT3G15360,AT5G39830,AT1G74710,AT1G23740,AT1G10170,AT1G03160,AT1G66670,AT5G23890,AT3G60370,AT5G16660,AT1G50250,AT2G40100,AT1G54050,AT3G22690,AT4G18370,AT4G01050,AT1G51350,AT4G39460,AT5G59250,AT5G01500,AT4G20820,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT3G24590,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G37660,AT2G22360,AT5G19370,AT1G18730,AT1G67280,AT2G27290,AT2G40760,AT2G37230,AT4G16155,AT2G30950,AT5G20140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT5G12470,AT3G10130,AT1G79230,AT1G76760,AT4G39960,AT2G20270,AT5G52970,AT5G03455,AT3G57680,AT2G44990,AT3G15110,AT1G22450,AT4G35770,AT2G41330,AT2G40400,AT5G42765,AT2G26800	5,6,7,8,9,10,11,12,13
0.6	284	16	9	AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT1G42960,AT4G18370,AT4G24750,AT4G01050,AT2G40100,AT5G16660,AT4G24930,AT3G15840,AT4G39730,AT1G06690,AT4G01900,AT1G10170	5,6,7,8,9,10,11,12,13
0.6	285	17	9	AT1G23740,AT1G10170,AT1G79450,AT5G02160,AT1G22020,AT1G50250,AT4G18370,AT3G22690,AT4G01050,AT2G40100,AT5G16660,AT5G16150,AT4G24930,AT3G15840,AT4G39730,AT4G01900,AT1G06690	5,6,7,8,9,10,11,12,13
0.6	286	5	7	AT1G22020,AT3G25480,AT3G46780,AT3G21055,AT1G54780	5,6,7,8,9,10,11
0.6	287	21	9	AT5G20140,AT1G23740,AT1G10170,AT1G79450,AT5G02160,AT4G20820,AT1G22020,AT5G16660,AT1G50250,AT4G38380,AT4G18370,AT3G22690,AT4G01050,AT2G40100,AT5G16150,AT3G57680,AT4G24930,AT3G15840,AT4G39730,AT2G37230,AT1G06690	5,6,7,8,9,10,11,12,13
0.6	288	5	9	AT2G42220,AT3G25480,AT1G23740,AT4G28025,AT4G39730	5,6,7,8,9,10,11,12,13
0.6	289	5	9	AT3G46610,AT1G73530,AT1G16880,AT4G31390,AT4G25050	5,6,7,8,9,10,11,12,13
0.6	290	5	7	AT1G21750,AT1G74880,AT3G53560,AT1G54790,AT2G01140	5,6,7,8,9,10,11
0.6	291	67	9	AT2G17630,AT3G10470,AT2G42975,AT5G02160,AT1G07510,AT1G75690,AT3G58010,AT4G38380,AT5G52970,AT4G39960,AT5G42070,AT5G53170,AT4G04020,AT3G15360,AT5G59250,AT3G10130,AT1G23740,AT1G10170,AT2G20270,AT4G35770,AT3G60370,AT5G16660,AT1G50250,AT2G40100,AT3G22690,AT4G18370,AT4G01050,AT1G51350,AT4G39460,AT5G01500,AT4G20820,AT3G15840,AT2G27290,AT1G56500,AT5G23890,AT3G24590,AT1G17850,AT1G29920,AT5G19500,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT5G42765,AT2G22360,AT4G39730,AT5G19370,AT5G21430,AT5G03455,AT1G67280,AT3G26580,AT2G37230,AT4G16155,AT2G30950,AT5G20140,AT1G55370,AT3G55330,AT1G79230,AT5G12470,AT1G76760,AT2G40760,AT1G51110,AT5G16150,AT5G15250,AT3G57680,AT1G22450,AT2G40400	5,6,7,8,9,10,11,12,13
0.6	292	9	9	AT1G30510,AT4G31560,AT1G79450,AT3G47060,AT2G24020,AT4G24930,AT1G50460,AT4G01900,AT1G14590	5,6,7,8,9,10,11,12,13
0.6	293	59	9	AT3G10470,AT2G42975,AT5G02160,AT1G07510,AT1G75690,AT3G58010,AT4G38380,AT4G39960,AT5G53170,AT3G15360,AT5G59250,AT1G23740,AT1G10170,AT2G20270,AT4G35770,AT3G60370,AT5G52970,AT1G50250,AT1G51350,AT3G22690,AT4G18370,AT4G01050,AT2G40100,AT4G39460,AT5G12470,AT4G20820,AT3G15840,AT1G56500,AT5G23890,AT3G24590,AT1G17850,AT1G29920,AT5G19500,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT5G42765,AT2G22360,AT4G39730,AT5G21430,AT5G03455,AT1G67280,AT3G26580,AT2G37230,AT1G06690,AT2G30950,AT5G20140,AT1G55370,AT3G55330,AT1G76760,AT4G16155,AT2G40760,AT1G51110,AT5G16150,AT5G16660,AT3G57680,AT1G22450,AT2G40400	5,6,7,8,9,10,11,12,13
0.6	294	18	9	AT2G42220,AT1G23740,AT1G30510,AT1G79450,AT1G06690,AT2G24020,AT5G02160,AT1G42960,AT4G18370,AT4G24750,AT4G01050,AT2G40100,AT5G16660,AT4G24930,AT4G39730,AT1G50460,AT4G01900,AT1G10170	5,6,7,8,9,10,11,12,13
0.6	295	7	3	AT2G26340,AT2G01918,AT3G47060,AT1G54790,AT2G43010,AT1G03850,AT1G14590	5,6,7
0.6	296	12	9	AT1G21750,AT2G21160,AT1G50450,AT3G53560,AT1G74880,AT1G78915,AT1G67840,AT2G21530,AT4G38100,AT1G65260,AT2G01140,AT2G37400	5,6,7,8,9,10,11,12,13
0.6	297	7	9	AT2G42220,AT1G23740,AT1G10170,AT5G16660,AT4G39730,AT2G40100,AT3G25480	5,6,7,8,9,10,11,12,13
0.6	298	5	7	AT4G28025,AT3G25480,AT3G46780,AT3G21055,AT4G39730	5,6,7,8,9,10,11
0.6	299	5	9	AT4G28025,AT3G46780,AT3G25480,AT1G23740,AT4G39730	5,6,7,8,9,10,11,12,13
0.6	300	5	3	AT2G26340,AT2G42220,AT4G23890,AT1G03850,AT1G14590	5,6,7
0.6	301	5	3	AT4G01050,AT1G16790,AT1G23740,AT4G28025,AT4G39730	5,6,7
