threshold	term	GeneSize	WindowSize	key	value
0.85	247	51	5	AT2G17630,AT3G10470,AT5G13120,AT5G53170,AT4G31560,AT3G26580,AT1G42960,AT1G14150,AT1G12250,AT5G42070,AT1G54580,AT1G02560,AT5G39830,AT2G29500,AT1G03160,AT1G66670,AT2G40760,AT1G54050,AT3G22690,AT2G40100,AT4G39460,AT5G12470,AT1G14345,AT2G27290,AT1G72640,AT1G17850,AT1G29920,AT5G15250,AT2G37660,AT4G18370,AT1G67700,AT1G18730,AT1G67280,AT1G80030,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT3G47060,AT4G35770,AT4G04020,AT5G42270,AT5G03455,AT3G57680,AT2G44990,AT2G41330,AT2G26800	49,50,51,52,53
0.85	248	14	5	AT2G37230,AT2G21160,AT1G30510,AT1G79450,AT3G53560,AT5G02160,AT1G27510,AT2G01140,AT1G54790,AT5G62720,AT2G40400,AT1G05385,AT1G03850,AT1G31180	49,50,51,52,53
0.85	249	17	5	AT2G17630,AT2G29500,AT5G53170,AT2G20260,AT1G03160,AT3G08920,AT5G42270,AT2G37660,AT1G67700,AT2G40100,AT1G12250,AT5G42070,AT1G02560,AT1G14345,AT1G80030,AT5G01500,AT2G44990	49,50,51,52,53
0.85	250	64	5	AT5G20140,AT3G10470,AT3G46780,AT4G31560,AT1G07510,AT1G75690,AT1G42960,AT4G38380,AT5G52970,AT5G19500,AT1G54580,AT5G13120,AT2G43010,AT5G39830,AT1G74710,AT3G21055,AT2G20270,AT1G66670,AT3G60370,AT5G16660,AT3G58010,AT1G50460,AT1G54050,AT3G22690,AT4G18370,AT1G51350,AT4G39460,AT5G59250,AT4G20820,AT5G21430,AT2G27290,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G22360,AT1G18730,AT1G67280,AT3G26580,AT4G13670,AT5G12470,AT1G06690,AT2G30950,AT1G15140,AT1G55370,AT3G55330,AT1G52220,AT3G47060,AT2G24020,AT4G16155,AT2G40760,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT3G15110,AT4G35770,AT5G52440,AT2G26800	49,50,51,52,53
0.8	251	6	2	AT2G26340,AT3G21055,AT5G07020,AT1G54780,AT5G01220,AT4G23890	49,50
0.8	252	78	5	AT2G17630,AT4G38380,AT3G10470,AT2G40100,AT5G20140,AT4G31560,AT1G07510,AT1G75690,AT3G26580,AT1G42960,AT1G14150,AT5G52970,AT1G12250,AT3G46780,AT1G54580,AT5G13120,AT4G04020,AT2G43010,AT2G42220,AT1G74710,AT3G21055,AT2G20270,AT1G66670,AT5G39830,AT3G60370,AT5G16660,AT1G50250,AT1G50460,AT1G54050,AT3G22690,AT4G18370,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT5G21430,AT1G80030,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G37660,AT2G22360,AT5G19370,AT5G19500,AT1G18730,AT1G67280,AT2G27290,AT3G58010,AT4G13670,AT5G01500,AT1G06690,AT2G30950,AT1G15140,AT1G55370,AT3G55330,AT1G52220,AT3G47060,AT5G42070,AT2G24020,AT4G16155,AT2G40760,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT2G44990,AT3G15110,AT4G35770,AT2G41330,AT5G52440,AT2G26800	49,50,51,52,53
0.8	253	73	5	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT4G31560,AT1G07510,AT3G58010,AT3G26580,AT1G42960,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT1G54580,AT1G02560,AT5G16660,AT4G04020,AT2G43010,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G08540,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT2G40100,AT4G39460,AT5G12470,AT1G14345,AT1G80030,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT5G42270,AT1G15820,AT2G37660,AT4G18370,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT4G20820,AT5G20140,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G47060,AT5G42070,AT2G24020,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT2G44990,AT3G15110,AT4G35770,AT2G41330,AT2G26800	49,50,51,52,53
0.8	254	5	5	AT2G26360,AT3G17830,AT3G47450,AT4G25910,AT4G36810	49,50,51,52,53
0.8	255	5	5	AT2G26360,AT3G17830,AT2G41680,AT4G25910,AT4G36810	49,50,51,52,53
0.8	256	33	5	AT2G17630,AT5G53170,AT4G31560,AT1G14150,AT1G12250,AT5G42070,AT1G54580,AT1G02560,AT5G39830,AT2G29500,AT1G03160,AT1G66670,AT1G54050,AT2G40100,AT4G39460,AT5G42270,AT1G14345,AT1G80030,AT1G56500,AT1G72640,AT2G37660,AT4G18370,AT1G67700,AT1G80380,AT3G26580,AT5G01500,AT5G19370,AT2G20260,AT4G04020,AT5G03455,AT2G44990,AT2G41330,AT2G26800	49,50,51,52,53
0.8	257	5	5	AT3G46610,AT1G79040,AT1G44575,AT3G56040,AT1G71500	49,50,51,52,53
0.8	258	11	5	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT4G38100,AT3G15840,AT3G15360	49,50,51,52,53
0.8	259	19	5	AT2G29500,AT2G20260,AT1G03160,AT2G44990,AT3G08920,AT5G42270,AT2G18790,AT2G37660,AT1G67700,AT2G40100,AT1G12250,AT1G80380,AT4G33010,AT1G02560,AT1G14345,AT1G80030,AT1G16880,AT5G01500,AT2G29180	49,50,51,52,53
0.8	260	73	5	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT4G31560,AT1G07510,AT3G58010,AT3G26580,AT1G42960,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT1G54580,AT1G02560,AT2G43010,AT5G39830,AT1G74710,AT2G29500,AT2G20270,AT1G66670,AT3G60370,AT5G16660,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT2G40100,AT4G39460,AT5G12470,AT1G14345,AT1G80030,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT5G42270,AT1G15820,AT2G37660,AT4G18370,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT4G20820,AT5G20140,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G47060,AT5G42070,AT2G24020,AT4G04020,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT2G44990,AT3G15110,AT4G35770,AT2G41330,AT2G26800	49,50,51,52,53
0.8	261	20	5	AT2G17630,AT2G29500,AT5G53170,AT2G20260,AT1G03160,AT5G42270,AT3G08920,AT5G42070,AT2G37660,AT1G67700,AT2G40100,AT1G12250,AT1G80380,AT4G33010,AT1G02560,AT1G14345,AT1G80030,AT1G16880,AT5G01500,AT2G44990	49,50,51,52,53
0.8	262	15	5	AT2G37230,AT2G21160,AT1G30510,AT1G79450,AT3G53560,AT5G02160,AT1G27510,AT2G01140,AT1G54790,AT5G62720,AT4G39730,AT2G40400,AT1G05385,AT1G03850,AT1G31180	49,50,51,52,53
0.8	263	73	5	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT4G31560,AT1G07510,AT3G58010,AT3G26580,AT1G42960,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT1G54580,AT1G02560,AT4G04020,AT2G43010,AT5G39830,AT1G74710,AT2G29500,AT2G20270,AT1G66670,AT3G60370,AT5G16660,AT1G50250,AT2G40100,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT1G80030,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G15820,AT2G37660,AT4G18370,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT5G20140,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G47060,AT5G42070,AT2G24020,AT2G40760,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT2G44990,AT3G15110,AT4G35770,AT2G41330,AT2G26800	49,50,51,52,53
0.8	264	7	2	AT2G26340,AT3G21055,AT5G07020,AT1G22450,AT1G54780,AT5G01220,AT5G52440	49,50
0.75	265	15	5	AT2G29500,AT5G53170,AT2G20260,AT1G03160,AT3G08920,AT2G18790,AT1G67700,AT5G42270,AT1G12250,AT4G33010,AT2G44990,AT1G14345,AT1G16880,AT5G01500,AT2G29180	49,50,51,52,53
0.75	266	35	5	AT2G17630,AT5G53170,AT4G31560,AT1G14150,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT2G29500,AT1G03160,AT1G66670,AT1G54050,AT2G40100,AT4G39460,AT5G42270,AT1G14345,AT1G80030,AT1G72640,AT2G37660,AT4G18370,AT1G67700,AT1G80380,AT4G33010,AT3G26580,AT5G01500,AT2G26800,AT5G19370,AT2G20260,AT3G08920,AT4G04020,AT5G03455,AT2G44990,AT2G41330,AT1G16880,AT2G29180	49,50,51,52,53
0.75	267	16	5	AT1G15140,AT4G13010,AT2G20270,AT1G79230,AT1G15820,AT2G24020,AT1G50250,AT4G38380,AT1G51110,AT5G16150,AT5G19500,AT3G46780,AT5G52970,AT5G16660,AT1G50460,AT4G28025	49,50,51,52,53
0.75	268	5	2	AT5G53490,AT4G24930,AT1G23740,AT3G24590,AT1G79230	49,50
0.75	269	81	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G20140,AT4G31560,AT1G07510,AT1G75690,AT3G26580,AT1G42960,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT1G54580,AT5G13120,AT5G53170,AT4G04020,AT2G43010,AT2G42220,AT1G74710,AT3G21055,AT2G20270,AT1G66670,AT5G39830,AT3G60370,AT5G16660,AT1G50250,AT2G40100,AT1G54050,AT3G22690,AT4G18370,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT5G21430,AT1G80030,AT1G50460,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT1G72640,AT3G58010,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT3G55330,AT1G52220,AT3G47060,AT5G42070,AT2G24020,AT4G16155,AT3G01440,AT2G40760,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT2G44990,AT3G15110,AT4G35770,AT2G41330,AT5G52440,AT2G26800	49,50,51,52,53
0.75	270	56	5	AT2G17630,AT3G10470,AT5G13120,AT5G53170,AT4G31560,AT3G26580,AT1G42960,AT1G14150,AT1G12250,AT5G42070,AT1G54580,AT1G02560,AT5G39830,AT2G29500,AT1G03160,AT1G66670,AT2G40760,AT1G54050,AT3G22690,AT2G40100,AT4G39460,AT5G12470,AT1G14345,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT5G08540,AT5G15250,AT2G37660,AT4G18370,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT3G08920,AT4G35770,AT3G01440,AT4G04020,AT5G42270,AT1G80380,AT3G57680,AT2G44990,AT3G47060,AT2G41330,AT5G03455,AT2G26800	49,50,51,52,53
0.75	271	6	5	AT4G36810,AT2G26360,AT3G47450,AT4G25910,AT3G17830,AT2G41680	49,50,51,52,53
0.75	272	85	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G20140,AT4G31560,AT1G07510,AT1G75690,AT3G26580,AT1G42960,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT1G54580,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT2G43010,AT2G42220,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT5G39830,AT3G60370,AT5G16660,AT1G50250,AT2G40100,AT1G54050,AT3G22690,AT4G18370,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G50460,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT2G40760,AT1G72640,AT3G58010,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G47060,AT5G42070,AT2G24020,AT4G16155,AT3G01440,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT2G44990,AT3G15110,AT4G20820,AT4G35770,AT2G41330,AT2G26800	49,50,51,52,53
0.75	273	83	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G20140,AT4G31560,AT1G07510,AT1G75690,AT3G26580,AT1G42960,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT1G54580,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT2G43010,AT2G42220,AT1G74710,AT2G29500,AT2G20270,AT1G66670,AT5G39830,AT3G60370,AT5G16660,AT1G50250,AT2G40100,AT1G54050,AT3G22690,AT4G18370,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT5G21430,AT1G80030,AT1G50460,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT1G72640,AT3G58010,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G47060,AT5G42070,AT2G24020,AT4G16155,AT3G01440,AT2G40760,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT2G44990,AT3G15110,AT4G35770,AT2G41330,AT5G52440,AT2G26800	49,50,51,52,53
0.7	274	38	5	AT2G17630,AT5G53170,AT4G31560,AT1G14150,AT2G18790,AT5G42070,AT1G54580,AT1G02560,AT5G39830,AT2G29500,AT1G03160,AT1G66670,AT1G54050,AT2G40100,AT4G39460,AT5G42270,AT1G14345,AT1G80030,AT1G56500,AT5G08540,AT2G37660,AT4G18370,AT1G67700,AT1G80380,AT4G33010,AT3G26580,AT5G01500,AT2G26800,AT5G19370,AT2G20260,AT3G08920,AT1G12250,AT4G04020,AT5G03455,AT2G44990,AT2G41330,AT1G16880,AT2G29180	49,50,51,52,53
0.7	275	35	5	AT3G46780,AT1G07510,AT1G75690,AT3G58010,AT5G19500,AT4G28025,AT2G43010,AT2G42220,AT1G74710,AT4G16155,AT2G20270,AT3G60370,AT5G52970,AT1G50250,AT4G38380,AT1G79230,AT1G51350,AT5G59250,AT4G20820,AT5G21430,AT1G50460,AT2G35040,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G22360,AT1G15140,AT1G55370,AT2G24020,AT1G52220,AT1G51110,AT5G16150,AT5G16660,AT3G15110	49,50,51,52,53
0.7	276	88	5	AT2G17630,AT3G10470,AT1G07510,AT1G75690,AT4G13670,AT1G14150,AT2G43010,AT2G42220,AT4G16155,AT1G03160,AT1G66670,AT1G50250,AT4G38380,AT2G40100,AT1G29920,AT5G19500,AT4G13010,AT1G15140,AT1G67280,AT1G06690,AT2G30950,AT5G20140,AT2G20260,AT2G40760,AT4G35770,AT2G41330,AT5G52440,AT3G46780,AT4G31560,AT4G20820,AT5G42070,AT5G39830,AT2G29500,AT2G20270,AT3G22690,AT5G42270,AT1G17850,AT3G28850,AT2G37660,AT4G18370,AT5G19370,AT3G55330,AT1G52220,AT3G47060,AT5G13120,AT5G16150,AT5G59250,AT2G26800,AT5G52970,AT1G12250,AT1G54580,AT4G28025,AT1G74710,AT3G21055,AT3G60370,AT1G54050,AT5G21430,AT1G80030,AT1G72640,AT1G15820,AT2G22360,AT1G18730,AT3G26580,AT5G01500,AT4G04020,AT1G51110,AT5G16660,AT2G44990,AT3G15110,AT5G53170,AT1G42960,AT1G02560,AT3G58010,AT1G51350,AT4G39460,AT1G14345,AT2G27290,AT1G50460,AT2G35040,AT1G22020,AT1G67700,AT5G03455,AT5G12470,AT1G55370,AT2G24020,AT5G15250,AT3G57680,AT3G01440	49,50,51,52,53
0.7	277	5	5	AT3G46610,AT1G79040,AT1G44575,AT3G56040,AT1G71500	49,50,51,52,53
0.7	278	68	5	AT2G17630,AT5G20140,AT3G10470,AT5G13120,AT5G53170,AT4G31560,AT1G07510,AT4G20820,AT3G26580,AT1G42960,AT1G14150,AT1G12250,AT5G42070,AT1G54580,AT1G02560,AT4G04020,AT2G43010,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G16660,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT2G40100,AT4G39460,AT5G12470,AT1G14345,AT1G80030,AT1G72640,AT1G17850,AT1G29920,AT5G08540,AT5G15250,AT1G15820,AT2G37660,AT4G18370,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT3G08920,AT4G35770,AT3G01440,AT2G20270,AT5G52970,AT5G42270,AT1G80380,AT3G57680,AT2G44990,AT3G15110,AT3G47060,AT2G41330,AT5G03455,AT2G26800	49,50,51,52,53
0.7	279	12	5	AT2G21160,AT3G53560,AT5G02160,AT1G27510,AT4G39730,AT1G78915,AT1G31180,AT5G62720,AT1G65260,AT2G40400,AT2G37230,AT1G30510	49,50,51,52,53
0.65	280	5	2	AT2G26340,AT4G23890,AT1G65230,AT1G54780,AT5G07020	49,50
0.65	281	5	5	AT1G32500,AT2G18790,AT3G19490,AT4G33010,AT2G29180	49,50,51,52,53
0.65	282	88	5	AT2G17630,AT3G10470,AT1G07510,AT1G75690,AT4G13670,AT1G14150,AT2G43010,AT2G42220,AT4G16155,AT1G03160,AT1G66670,AT1G50250,AT4G38380,AT2G40100,AT1G29920,AT5G19500,AT4G13010,AT1G15140,AT1G67280,AT1G06690,AT2G30950,AT5G20140,AT2G20260,AT2G40760,AT4G35770,AT2G41330,AT5G52440,AT3G46780,AT4G31560,AT4G20820,AT5G42070,AT5G39830,AT2G29500,AT2G20270,AT3G22690,AT5G42270,AT1G17850,AT3G28850,AT2G37660,AT4G18370,AT5G19370,AT5G08540,AT3G55330,AT1G52220,AT3G47060,AT5G13120,AT5G16150,AT5G59250,AT2G26800,AT5G52970,AT1G12250,AT1G54580,AT4G28025,AT1G74710,AT3G60370,AT1G54050,AT5G21430,AT1G80030,AT1G72640,AT1G15820,AT2G22360,AT1G18730,AT3G26580,AT5G01500,AT4G04020,AT1G51110,AT5G16660,AT2G44990,AT3G15110,AT5G53170,AT1G42960,AT1G02560,AT3G58010,AT1G51350,AT4G39460,AT1G14345,AT2G27290,AT1G50460,AT2G35040,AT1G22020,AT1G67700,AT5G03455,AT5G12470,AT1G55370,AT2G24020,AT5G15250,AT3G57680,AT3G01440	49,50,51,52,53
0.65	283	73	5	AT4G38380,AT3G10470,AT3G46780,AT4G31560,AT1G07510,AT1G75690,AT3G58010,AT1G42960,AT1G14150,AT5G52970,AT5G19500,AT1G54580,AT5G13120,AT5G16660,AT4G04020,AT4G28025,AT2G43010,AT2G42220,AT1G74710,AT3G21055,AT2G20270,AT1G66670,AT5G39830,AT3G60370,AT3G28850,AT1G50250,AT1G50460,AT1G54050,AT3G22690,AT4G18370,AT1G51350,AT4G39460,AT5G59250,AT4G20820,AT5G21430,AT2G27290,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT2G24020,AT1G22020,AT1G15820,AT2G22360,AT5G19370,AT1G18730,AT1G67280,AT3G26580,AT5G20140,AT4G13670,AT5G12470,AT1G06690,AT2G30950,AT1G15140,AT1G55370,AT3G55330,AT1G52220,AT3G47060,AT1G79230,AT4G16155,AT3G01440,AT2G40760,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT3G15110,AT4G35770,AT2G41330,AT5G52440,AT2G26800	49,50,51,52,53
0.65	284	80	5	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT4G31560,AT1G07510,AT3G58010,AT3G26580,AT1G42960,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT1G54580,AT1G02560,AT5G16660,AT4G04020,AT2G43010,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G08540,AT1G50250,AT2G40100,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT1G80030,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT5G42270,AT1G15820,AT2G37660,AT4G18370,AT1G67700,AT4G20820,AT1G18730,AT1G67280,AT2G27290,AT2G40760,AT5G20140,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT5G42070,AT2G24020,AT3G01440,AT2G20270,AT1G51110,AT5G16150,AT1G80380,AT3G57680,AT2G44990,AT3G15110,AT3G47060,AT4G35770,AT2G41330,AT5G03455,AT2G26800	49,50,51,52,53
0.65	285	85	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G20140,AT4G31560,AT1G07510,AT1G75690,AT3G26580,AT1G42960,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT1G54580,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT4G28025,AT2G43010,AT2G42220,AT1G74710,AT2G29500,AT2G20270,AT1G66670,AT5G39830,AT3G60370,AT5G16660,AT1G50250,AT2G40100,AT1G54050,AT3G22690,AT4G18370,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT5G21430,AT1G80030,AT3G21055,AT1G50460,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT1G72640,AT3G58010,AT4G13670,AT5G01500,AT1G06690,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT5G08540,AT3G55330,AT1G52220,AT3G47060,AT5G42070,AT2G24020,AT4G16155,AT3G01440,AT2G40760,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT2G44990,AT3G15110,AT4G35770,AT2G41330,AT5G52440,AT2G26800	49,50,51,52,53
0.65	286	89	5	AT2G17630,AT3G10470,AT1G07510,AT1G75690,AT4G13670,AT1G14150,AT2G43010,AT2G42220,AT4G16155,AT1G03160,AT1G66670,AT1G50250,AT4G38380,AT2G40100,AT1G29920,AT5G19500,AT4G13010,AT1G15140,AT1G67280,AT1G06690,AT2G30950,AT5G20140,AT2G20260,AT2G40760,AT4G35770,AT2G41330,AT5G52440,AT3G46780,AT4G31560,AT4G20820,AT5G42070,AT5G39830,AT2G29500,AT2G20270,AT3G22690,AT5G42270,AT1G17850,AT3G28850,AT2G37660,AT4G18370,AT5G19370,AT5G08540,AT3G55330,AT1G52220,AT3G47060,AT5G13120,AT5G16150,AT5G59250,AT2G26800,AT5G52970,AT1G12250,AT1G54580,AT1G74710,AT3G21055,AT3G60370,AT1G54050,AT5G21430,AT1G80030,AT1G72640,AT1G15820,AT2G22360,AT1G18730,AT3G26580,AT5G01500,AT3G08920,AT4G04020,AT1G51110,AT5G16660,AT2G44990,AT3G15110,AT5G53170,AT1G42960,AT1G02560,AT3G58010,AT1G51350,AT4G39460,AT1G14345,AT2G27290,AT1G50460,AT2G35040,AT1G22020,AT1G67700,AT5G03455,AT5G12470,AT1G55370,AT2G24020,AT5G15250,AT3G57680,AT3G01440	49,50,51,52,53
0.65	287	15	5	AT2G37230,AT2G21160,AT1G30510,AT1G79450,AT3G53560,AT5G02160,AT1G27510,AT4G39730,AT1G78915,AT1G54790,AT5G62720,AT1G65260,AT2G40400,AT1G03850,AT1G31180	49,50,51,52,53
0.65	288	6	5	AT2G26550,AT1G79040,AT1G44575,AT3G56040,AT3G46610,AT1G71500	49,50,51,52,53
0.6	289	90	5	AT2G17630,AT3G10470,AT1G07510,AT1G75690,AT4G13670,AT1G14150,AT2G43010,AT2G42220,AT4G16155,AT1G03160,AT1G66670,AT1G50250,AT4G38380,AT2G40100,AT4G37925,AT1G29920,AT5G19500,AT4G13010,AT1G15140,AT3G01440,AT1G06690,AT2G30950,AT5G20140,AT2G20260,AT2G40760,AT4G35770,AT2G41330,AT5G52440,AT3G46780,AT4G31560,AT4G20820,AT5G42070,AT5G39830,AT2G29500,AT2G20270,AT3G22690,AT5G42270,AT1G17850,AT3G28850,AT2G37660,AT4G18370,AT5G19370,AT3G21055,AT5G08540,AT3G55330,AT1G52220,AT3G47060,AT5G13120,AT5G16150,AT5G59250,AT2G26800,AT5G52970,AT1G12250,AT1G54580,AT1G74710,AT1G10170,AT3G60370,AT1G54050,AT5G21430,AT1G80030,AT1G72640,AT1G15820,AT2G22360,AT1G18730,AT3G26580,AT5G01500,AT4G04020,AT1G51110,AT5G16660,AT2G44990,AT3G15110,AT5G53170,AT1G42960,AT1G02560,AT3G58010,AT1G51350,AT4G39460,AT1G14345,AT2G27290,AT1G50460,AT2G35040,AT1G22020,AT1G67700,AT5G03455,AT5G12470,AT1G55370,AT2G24020,AT5G15250,AT3G57680,AT1G67280	49,50,51,52,53
0.6	290	5	2	AT5G53490,AT3G26080,AT4G24930,AT1G23740,AT1G79230	49,50
0.6	291	7	5	AT2G18790,AT1G80380,AT4G33010,AT3G19490,AT1G32500,AT1G16880,AT2G29180	49,50,51,52,53
0.6	292	5	2	AT3G46610,AT1G73530,AT4G25050,AT4G31390,AT1G03600	49,50
0.6	293	95	5	AT2G17630,AT3G10470,AT1G07510,AT1G75690,AT4G13670,AT1G14150,AT2G43010,AT2G42220,AT4G16155,AT1G03160,AT1G66670,AT1G50250,AT4G38380,AT2G40100,AT1G29920,AT5G19500,AT4G13010,AT5G20140,AT4G33010,AT3G01440,AT1G06690,AT2G30950,AT1G15140,AT2G20260,AT2G40760,AT4G35770,AT2G41330,AT2G29180,AT3G46780,AT4G31560,AT4G20820,AT5G42070,AT5G39830,AT2G29500,AT2G20270,AT3G22690,AT5G42270,AT1G56500,AT1G17850,AT3G28850,AT2G37660,AT4G18370,AT5G19370,AT1G10170,AT5G08540,AT3G55330,AT1G52220,AT3G47060,AT5G13120,AT5G16150,AT5G59250,AT5G52440,AT2G26800,AT5G52970,AT1G12250,AT1G54580,AT1G80380,AT1G74710,AT3G21055,AT3G60370,AT1G54050,AT5G21430,AT1G80030,AT1G72640,AT1G15820,AT2G22360,AT1G18730,AT3G26580,AT5G01500,AT3G08920,AT4G04020,AT1G51110,AT5G16660,AT2G44990,AT3G15110,AT1G16880,AT5G53170,AT1G42960,AT1G02560,AT3G58010,AT1G51350,AT4G39460,AT1G14345,AT2G27290,AT1G50460,AT2G35040,AT1G22020,AT1G67700,AT5G03455,AT5G12470,AT1G55370,AT2G24020,AT5G15250,AT3G57680,AT1G67280	49,50,51,52,53
0.6	294	13	5	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT1G74070,AT5G08050,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT4G38100,AT3G15840,AT3G15360	49,50,51,52,53
