threshold	term	GeneSize	WindowSize	key	value
0.25	267	15	17	AT2G42220,AT2G01918,AT1G23740,AT1G10170,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT4G24930,AT5G52780,AT4G39730,AT4G01900,AT1G05385,AT1G14590	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.25	268	5	9	AT4G25050,AT1G73530,AT3G19490,AT4G31390,AT1G03600	0,1,2,3,4,5,6,7,8
0.25	269	6	17	AT3G01480,AT4G33520,AT1G73530,AT4G25910,AT4G31390,AT2G26360	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.25	270	73	17	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G13120,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G08540,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT4G16155,AT5G19370,AT2G30950,AT5G20140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT1G22450,AT4G35770,AT5G52440,AT2G26800	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.25	271	15	17	AT2G01918,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT1G10170,AT4G24930,AT5G52780,AT4G39730,AT4G01900,AT1G05385,AT1G14590	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.2	272	16	17	AT2G26340,AT2G42220,AT2G01918,AT1G23740,AT1G10170,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT4G24930,AT4G39730,AT4G01900,AT5G23890,AT1G05385,AT1G14590	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.2	273	11	17	AT3G01480,AT4G33520,AT4G36810,AT1G73530,AT3G47450,AT4G25910,AT4G31390,AT3G17830,AT2G04030,AT2G26360,AT2G41680	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.2	274	8	17	AT2G21160,AT1G50450,AT3G53560,AT1G74070,AT1G74880,AT1G78915,AT4G38100,AT1G65260	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.2	275	79	17	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G53170,AT4G31560,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G13120,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G08540,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G01500,AT4G16155,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT2G18790,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT3G15110,AT4G35770,AT5G52440,AT5G42765,AT2G26800	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.2	276	5	17	AT1G73530,AT3G19490,AT4G31390,AT2G04030,AT4G25050	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
