threshold	term	key	value
0.97 	198	AT2G17630,AT3G10470,AT5G13120,AT4G13670,AT1G14150,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT2G20270,AT1G66670,AT1G54050,AT5G42270,AT2G27290,AT1G17850,AT2G35040,AT4G19830,AT3G28850,AT1G15820,AT2G37660,AT5G19370,AT5G03455,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT5G15250,AT2G26800	
0.97 	199	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT1G03090,AT3G25480,AT2G21530,AT5G35170,AT3G15360	
0.97 	200	AT2G42975,AT2G21160,AT1G79450,AT1G76760,AT4G39730,AT4G39960,AT5G53490,AT1G23740,AT2G37230,AT4G01900	
00,AT1G21750,AT1G03090,AT3G25480,AT2G21530,AT5G35170,AT3G15360	[0, 1, 2]
0.97 	200	AT2G42975,AT2G21160,AT1G79450,AT1G76760,AT4G39730,AT4G39960,AT5G53490,AT1G23740,AT2G37230,AT4G01900	[0, 1, 2]
0.96 	201	AT1G51350,AT5G59250,AT4G16155,AT4G13010,AT5G52440	[0, 1, 2, 3, 4]
0.96 	202	AT1G15140,AT3G21055,AT4G13010,AT1G54500,AT1G51350,AT3G46780,AT4G16155	[0, 1, 2, 3]
0.96 	203	AT2G42975,AT4G39960,AT3G10130,AT1G76760,AT2G37230	[0, 1, 2, 3, 4, 5, 6]
0.96 	204	AT2G17630,AT3G10470,AT5G13120,AT1G07510,AT4G20820,AT4G13670,AT1G12250,AT5G42070,AT5G39830,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT3G22690,AT2G40760,AT4G39460,AT5G59250,AT5G12470,AT2G27290,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT1G15820,AT5G19370,AT5G03455,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT5G42270,AT5G15250,AT3G57680,AT4G35770	[0, 1, 2, 3, 4, 5, 6]
0.96 	205	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT3G15840,AT3G15360	[0, 1, 2]
0.95 	206	AT1G23740,AT1G50450,AT1G79450,AT1G16790,AT1G76760,AT4G39730,AT4G39960,AT5G53490,AT2G42975,AT1G03850,AT4G01900	[0, 1, 2]
0.95 	207	AT2G17630,AT3G10470,AT5G13120,AT1G07510,AT4G20820,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT1G54050,AT3G22690,AT2G40760,AT4G39460,AT5G59250,AT5G12470,AT2G27290,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT3G28850,AT1G15820,AT2G37660,AT5G19370,AT5G03455,AT1G67280,AT1G80030,AT5G01500,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT5G42270,AT5G15250,AT3G57680,AT4G35770,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.95 	208	AT2G42975,AT4G39960,AT3G10130,AT1G76760,AT2G37230	[0, 1, 2, 3, 4, 5, 6]
0.95 	209	AT2G17630,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT4G38380,AT1G12250,AT5G19500,AT5G42070,AT5G39830,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT2G27290,AT1G56500,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT3G28850,AT1G15820,AT5G19370,AT5G03455,AT1G67280,AT1G80030,AT5G01500,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT1G51110,AT5G42270,AT5G15250,AT3G57680,AT4G35770	[0, 1, 2, 3, 4, 5, 6]
0.95 	210	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT3G15840,AT3G15360	[0, 1, 2]
0.94 	211	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT5G21430,AT2G27290,AT1G56500,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT3G28850,AT1G15820,AT2G37660,AT5G19370,AT5G03455,AT1G67280,AT1G80030,AT5G01500,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT1G51110,AT5G42270,AT5G15250,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.94 	212	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT3G15840,AT3G15360	[0, 1, 2]
0.94 	213	AT2G26340,AT1G23740,AT1G50450,AT1G79450,AT1G16790,AT1G76760,AT4G39730,AT4G39960,AT5G53490,AT1G65260,AT2G42975,AT1G03850,AT4G01900	[0, 1, 2]
0.94 	214	AT2G26340,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT4G01900	[0, 1, 2, 3]
0.93 	215	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT5G21430,AT2G27290,AT1G56500,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G15820,AT2G37660,AT5G19370,AT2G29500,AT1G67280,AT1G80030,AT5G01500,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT1G51110,AT5G42270,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.93 	216	AT3G08920,AT2G29500,AT4G33010,AT2G20260,AT1G03160	[0, 1, 2, 3]
0.93 	217	AT2G42975,AT4G39960,AT3G10130,AT1G76760,AT2G37230	[0, 1, 2, 3, 4, 5, 6]
0.93 	218	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT3G15840,AT3G15360	[0, 1, 2]
0.92 	219	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G19830,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G42270,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.92 	220	AT2G42975,AT4G39960,AT3G10130,AT1G76760,AT2G37230	[0, 1, 2, 3, 4, 5, 6]
0.92 	221	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT3G15840,AT3G15360	[0, 1, 2]
0.91 	222	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G19830,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G42270,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.91 	223	AT2G26340,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G01900	[0, 1, 2, 3]
0.91 	224	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT3G15840,AT3G15360	[0, 1, 2]
0.9 	225	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G16155,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G42270,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.9 	226	AT2G26340,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	[0, 1, 2, 3]
0.9 	227	AT2G18790,AT2G29500,AT5G53170,AT2G20260,AT1G03160	[0, 1, 2]
0.9 	228	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT3G15840,AT3G15360	[0, 1, 2]
0.89 	229	AT1G32500,AT3G14420,AT2G18790,AT1G16880,AT2G29180	[0, 1, 2]
0.89 	230	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G16155,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT5G42270,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.89 	231	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G16155,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.89 	232	AT2G26340,AT5G02160,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT4G01900	[0, 1, 2, 3]
0.89 	233	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT5G42270,AT1G15820,AT2G37660,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT4G16155,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.89 	234	AT2G26340,AT1G79450,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	[0, 1, 2, 3]
0.89 	235	AT5G02160,AT3G53560,AT1G78915,AT5G62720,AT2G40400,AT2G37230,AT2G21160	[0, 1, 2]
0.89 	236	AT3G08920,AT5G53170,AT4G33010,AT3G14420,AT2G29180	[0, 1, 2, 3, 4]
0.89 	237	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT3G15840,AT3G15360	[0, 1, 2]
0.88 	238	AT3G08920,AT2G29500,AT5G53170,AT2G20260,AT1G03160	[0, 1, 2, 3, 4, 5, 6]
0.88 	239	AT2G21160,AT3G53560,AT5G02160,AT1G78915,AT1G31180,AT5G62720,AT2G37230,AT2G40400	[0, 1, 2]
0.88 	240	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G16155,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT5G42270,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.88 	241	AT2G26340,AT5G02160,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT4G01900	[0, 1, 2, 3]
0.88 	242	AT2G26340,AT1G79450,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	[0, 1, 2, 3]
0.88 	243	AT3G08920,AT2G18790,AT4G33010,AT3G14420,AT2G29180	[0, 1, 2, 3]
0.88 	244	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT3G15840,AT3G15360	[0, 1, 2]
0.87 	245	AT2G26340,AT1G23740,AT1G79450,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	[0, 1, 2, 3]
0.87 	246	AT2G21160,AT3G53560,AT5G02160,AT1G78915,AT1G31180,AT5G62720,AT2G37230,AT2G40400	[0, 1, 2]
0.87 	247	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G16155,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.87 	248	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT5G08050,AT3G15840,AT3G15360	[0, 1, 2]
0.87 	249	AT1G32500,AT3G08920,AT4G33010,AT3G14420,AT2G29180	[0, 1, 2, 3]
0.87 	250	AT2G26340,AT1G23740,AT5G02160,AT1G79450,AT4G24750,AT5G53490,AT1G54790,AT4G01900	[0, 1, 2, 3]
0.86 	251	AT2G26340,AT5G02160,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	[0, 1, 2, 3]
0.86 	252	AT2G26340,AT1G23740,AT5G02160,AT1G79450,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	[0, 1, 2, 3]
0.86 	253	AT2G21160,AT3G53560,AT5G02160,AT1G78915,AT1G31180,AT5G62720,AT2G37230,AT2G40400	[0, 1, 2]
0.86 	254	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT5G08050,AT3G15840,AT3G15360	[0, 1, 2]
0.86 	255	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G16155,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.86 	256	AT4G01050,AT4G24930,AT4G27700,AT3G24590,AT1G14590	[0, 1]
0.86 	257	AT3G08920,AT5G53170,AT4G33010,AT3G14420,AT2G29180	[0, 1, 2, 3, 4]
0.85 	258	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT5G08050,AT3G15840,AT3G15360	[0, 1, 2]
0.85 	259	AT2G26340,AT1G23740,AT5G02160,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	[0, 1, 2, 3]
0.85 	260	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G16155,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.85 	261	AT3G10130,AT2G42975,AT1G76760,AT4G39960,AT2G37230,AT3G24590	[0, 1, 2, 3, 4, 5, 6]
0.85 	262	AT4G01050,AT1G80380,AT4G27700,AT3G24590,AT1G14590	[0, 1]
0.85 	263	AT3G14420,AT2G29500,AT2G20260,AT1G03160,AT3G08920,AT2G29180	[0, 1, 2, 3, 4, 5, 6]
0.85 	264	AT1G74070,AT2G40400,AT1G31180,AT1G27510,AT1G30510	[0, 1, 2]
0.84 	265	AT2G26340,AT1G23740,AT5G02160,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	[0, 1, 2, 3]
0.84 	266	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT5G08050,AT3G15840,AT3G15360	[0, 1, 2]
0.84 	267	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G16155,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT2G20270,AT1G51110,AT5G42270,AT5G03455,AT3G57680,AT4G35770,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.84 	268	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G16155,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	[0, 1, 2, 3, 4, 5, 6]
0.84 	269	AT2G26340,AT1G23740,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT1G05385,AT4G01900	[0, 1, 2, 3]
0.84 	270	AT3G10130,AT2G42975,AT1G76760,AT4G39960,AT2G37230,AT3G24590	[0, 1, 2, 3, 4, 5, 6]
0.84 	271	AT4G01050,AT1G80380,AT4G27700,AT3G24590,AT1G14590	[0, 1]
0.84 	272	AT4G24930,AT5G53490,AT4G24750,AT1G05385,AT1G79450	[0, 1, 2, 3, 4]
0.84 	273	AT1G74070,AT2G40400,AT1G31180,AT1G27510,AT1G30510	[0, 1, 2]
0.83 	274	AT4G24930,AT5G53490,AT4G24750,AT5G02160,AT1G79450	[0, 1, 2, 3, 4]
0.83 	275	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT5G08050,AT3G15840,AT3G15360	[0, 1, 2]
